,,, ,rf,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM,"AVERAGE
",,,,,,
,,,E(r),0.58%,3.30%,2.26%,2.63%,0.66%,1.09%,1.57%,1.27%,0.55%,1.79%,-0.29%,1.40%,,,,,,
,,,𝞼,0%,8.29%,11.74%,10.68%,9.68%,12.82%,10.53%,9.06%,11.29%,7.85%,5.77%,8.88%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,No.,Combination,Stock i,Stock j,Stock k,wi,wj,wk,Total,E(ri),E(rj),E(rk),𝞼i,𝞼j,𝞼k,"Cov(i,j)","Cov(i,k)","Cov(j,k)",E(rp),𝞼p,Sharpe ratio
,1,FPT-HPG-BMP,FPT,HPG,BMP,74%,5%,21%,100%,3.30%,2.26%,2.63%,8.29%,11.74%,10.68%,0.49%,0.24%,0.32%,3.11%,7.41%,34.07%
,2,FPT-HPG-GAS,FPT,HPG,GAS,90%,5%,5%,100%,3.30%,2.26%,0.66%,8.29%,11.74%,9.68%,0.49%,0.41%,0.47%,3.12%,8.04%,31.50%
,3,FPT-HPG-MWG,FPT,HPG,MWG,90%,5%,5%,100%,3.30%,2.26%,1.09%,8.29%,11.74%,12.82%,0.49%,0.74%,0.60%,3.14%,8.24%,31.00%
,4,FPT-HPG-PTB,FPT,HPG,PTB,5%,5%,90%,100%,3.30%,2.26%,1.57%,8.29%,11.74%,10.53%,0.49%,0.59%,0.57%,1.69%,10.05%,11.04%
,5,FPT-HPG-IMP,FPT,HPG,IMP,90%,5%,5%,100%,3.30%,2.26%,1.27%,8.29%,11.74%,9.06%,0.49%,0.20%,0.58%,3.15%,7.93%,32.35%
,6,FPT-HPG-MSN,FPT,HPG,MSN,90%,5%,5%,100%,3.30%,2.26%,0.55%,8.29%,11.74%,11.29%,0.49%,0.33%,0.58%,3.11%,8.01%,31.57%
,7,FPT-HPG-VCB,FPT,HPG,VCB,87%,5%,8%,100%,3.30%,2.26%,1.79%,8.29%,11.74%,7.85%,0.49%,0.24%,0.43%,3.13%,7.80%,32.63%
,8,FPT-HPG-VNM,FPT,HPG,VNM,90%,5%,5%,100%,3.30%,2.26%,-0.29%,8.29%,11.74%,5.77%,0.49%,0.16%,0.16%,3.07%,7.88%,31.55%
,9,FPT-BMP-GAS,FPT,BMP,GAS,74%,21%,5%,100%,3.30%,2.63%,0.66%,8.29%,10.68%,9.68%,0.24%,0.41%,0.34%,3.03%,7.36%,33.21%
,10,FPT-BMP-MWG,FPT,BMP,MWG,74%,21%,5%,100%,3.30%,2.63%,1.09%,8.29%,10.68%,12.82%,0.24%,0.74%,0.55%,3.05%,7.57%,32.59%
